Item,Quantity Purchased,Unit Price,Total Price,Purpose,Link
Leingar 2-Pack 1.5in Tri Clamp to 1/2in Hose Barb Adapter,1,14.99,14.99,Flow-testing plumbing,
SKLSVIF 2-Pack 1/2in Hose Barb Mini Ball Valve,1,19.99,19.99,Control water flow in test loop,
DERNORD 1/2in ID x 5/8in OD Clear Vinyl Hose 25 ft,1,16.69,16.69,Flow-testing tubing,
ALITOVE DC 12V 5A Power Supply Adapter,1,12.99,12.99,Power supply for flow-testing setup,
ZAOJIAO DC 12V Brushless Water Pump 800 L/h,1,22.99,22.99,Recirculating water for flow testing,
uxcell 20mm Sapphire Crystal Lens 1mm thick,2,9.99,19.98,Optical windows for turbidity sensor,
ZDBB 1540-pc O-Ring Assortment Kit,1,21.99,21.99,Waterproof sealing and enclosure testing,
J-B Weld 8272 MarineWeld Marine Epoxy 2 oz,1,7.29,7.29,Waterproof sealing and sensor assembly,
HiLetgo 5-pc Micro SD Card Adapter Reader Modules,1,6.49,6.49,Local sensor data logging,
ELEGOO 32-pc Double-Sided PCB Prototype Board Kit,1,9.99,9.99,Assembling sensor electronics,
ONJYHK 1000-pc 1% Metal Film Resistor Assortment,1,9.99,9.99,Optical sensing and amplifier circuits,
Microchip MCP6002-I/P Dual 1MHz Operational Amplifier 4-pack,1,9.60,9.60,Phototransistor signal amplification,
HiLetgo 20-pc PT334-6C Phototransistors,1,5.79,5.79,Optical turbidity detection,
CHANZON 100-pc 850nm Infrared LED Emitters,1,8.89,8.89,Infrared light source for turbidity sensing,
hiBCTR 3-Pack ADS1115 16-bit ADC Modules,1,12.58,12.58,Higher-resolution optical signal measurement,
HiLetgo ESP-WROOM-32 ESP32 Development Board,2,9.99,19.98,Microcontrollers for paired sensor nodes,
400-pc 3:1 Adhesive-Lined Heat Shrink Tubing Kit,1,13.99,13.99,Water-resistant wire insulation,
ZBLZGP WEIPU SP17 4-pin IP68 Waterproof Connector,1,12.30,12.30,Waterproof electrical connection,
uxcell M16x1.5 Waterproof Cable Glands 20-pack,1,9.99,9.99,Sealing wires entering enclosures,
Gratury IP67 Waterproof Junction Box,1,24.99,24.99,Protecting sensor electronics in the field,
3.3V Mini360 Buck Converter 5-pack,1,8.99,8.99,Voltage regulation for sensor electronics,
hiBCTR TP4056 USB-C LiPo Charger Modules 10-pack,1,8.87,8.87,Battery charging and protection,
Winfrox 3.7V 5000mAh LiPo Battery,1,13.49,13.49,Portable sensor power,
SanDisk 32GB Ultra microSDHC 2-pack,1,34.70,34.70,Local storage for paired sensor nodes,
,,,,,
PRODUCT SUBTOTAL,,,347.54,,
Estimated tax / shipping / handling,,,45.46,Amount between cart subtotal and checkout total,
TOTAL PROJECT PURCHASE,,,393.00,,
